5,5,10,1,32,0,1987,82,27,2096
5,5,10,1,32,0,41,48,33,122
5,5,10,1,32,0,39,56,23,118
5,5,10,1,32,0,37,29,10,76
5,5,10,1,32,0,25,29,10,64
5,5,10,1,32,0,22,4532,1,4555
5,5,10,1,32,0,26,6176,1,6203
5,5,10,1,32,0,25,4296,1,4322
5,5,10,1,32,0,24,4173,1,4198
5,5,10,1,32,0,25,4243,1,4269
5,5,10,1,32,0,33,4251,1,4285
5,5,10,1,32,0,25,4303,1,4329
5,5,10,1,32,0,26,4274,1,4301
5,5,10,1,32,0,27,4359,1,4387
5,5,10,1,32,0,28,4258,2,4288
5,5,10,1,32,0,29,4573,1,4603
5,5,10,1,32,0,25,3903,1,3929
5,5,10,1,32,0,33,3782,1,3816
5,5,10,1,32,0,30,3927,1,3958
5,5,10,1,32,0,32,4717,1,4750
5,5,10,1,32,0,35,4435,1,4471
5,5,10,1,32,0,31,4844,1,4876
5,5,10,1,32,0,26,4639,1,4666
5,5,10,1,32,0,27,2213,2419,4659
